X_Coordinate,Y_Coordinate,Type,Zone,Done
100,1186,High,Zone1_Providence,1
309,1186,High,Zone1_Providence,1
217,1115,High,Zone1_Providence,1
281,984,High,Zone1_Providence,1
36,803,High,Zone1_Providence,1
282,779,High,Zone1_Providence,1
29,1178,Medium,Zone1_Providence,1
250,1146,Medium,Zone1_Providence,1
122,1124,Medium,Zone1_Providence,1
80,1108,Medium,Zone1_Providence,1
370,1186,Medium,Zone1_Providence,1
376,1109,Medium,Zone1_Providence,1
348,1107,Medium,Zone1_Providence,1
379,1056,Medium,Zone1_Providence,1
136,1049,Medium,Zone1_Providence,1
101,1003,Medium,Zone1_Providence,1
259,959,Medium,Zone1_Providence,1
31,859,Medium,Zone1_Providence,1
167,779,Medium,Zone1_Providence,1
207,676,Medium,Zone1_Providence,1
187,755,Medium,Zone1_Providence,1
239,831,Medium,Zone1_Providence,1
260,836,Medium,Zone1_Providence,1
164,835,Medium,Zone1_Providence,1
337,896,Medium,Zone1_Providence,1
371,973,Medium,Zone1_Providence,1
461,1013,High,Zone1_Providence,1
443,958,High,Zone1_Providence,1
672,1171,High,Zone1_Providence,1
869,1117,High,Zone1_Providence,1
897,972,High,Zone1_Providence,1
947,997,High,Zone1_Providence,1
1026,1162,High,Zone1_Providence,1
446,1176,Medium,Zone1_Providence,1
440,1073,Medium,Zone1_Providence,1
522,1171,Medium,Zone1_Providence,1
556,993,Medium,Zone1_Providence,1
563,1083,Medium,Zone1_Providence,1
598,1071,Medium,Zone1_Providence,1
640,1186,Medium,Zone1_Providence,1
714,940,Medium,Zone1_Providence,1
732,899,Medium,Zone1_Providence,1
766,1184,Medium,Zone1_Providence,1
805,1001,Medium,Zone1_Providence,1
910,958,Medium,Zone1_Providence,1
937,1053,Medium,Zone1_Providence,1
943,1151,Medium,Zone1_Providence,1
970,1186,Medium,Zone1_Providence,1
1033,1048,Medium,Zone1_Providence,1
991,1039,Medium,Zone1_Providence,1
1122,1109,Medium,Zone1_Providence,1
1135,1151,Medium,Zone1_Providence,1
1186,1181,Medium,Zone1_Providence,1
1065,954,High,Zone1_Providence,1
992,943,High,Zone1_Providence,1
1167,767,High,Zone1_Providence,1
1037,967,Medium,Zone1_Providence,1
1154,969,Medium,Zone1_Providence,1
1171,951,Medium,Zone1_Providence,1
1090,849,Medium,Zone1_Providence,1
970,786,Medium,Zone1_Providence,1
890,779,Medium,Zone1_Providence,1
1018,690,Medium,Zone1_Providence,1
1186,704,Medium,Zone1_Providence,1
1091,624,Medium,Zone1_Providence,1
998,547,High,Zone1_Providence,1
1186,524,High,Zone1_Providence,1
1121,403,High,Zone1_Providence,1
1186,344,High,Zone1_Providence,1
1078,222,High,Zone1_Providence,1
969,166,High,Zone1_Providence,1
1133,167,High,Zone1_Providence,1
998,112,High,Zone1_Providence,1
970,32,High,Zone1_Providence,1
1049,517,Medium,Zone1_Providence,1
1100,533,Medium,Zone1_Providence,1
985,349,Medium,Zone1_Providence,1
1148,397,Medium,Zone1_Providence,1
951,306,Medium,Zone1_Providence,1
1156,269,Medium,Zone1_Providence,1
1171,231,Medium,Zone1_Providence,1
1124,234,Medium,Zone1_Providence,1
946,213,Medium,Zone1_Providence,1
922,32,Medium,Zone1_Providence,1
849,221,High,Zone1_Providence,1
674,39,High,Zone1_Providence,1
515,265,High,Zone1_Providence,1
418,252,High,Zone1_Providence,1
849,120,Medium,Zone1_Providence,1
807,286,Medium,Zone1_Providence,1
726,246,Medium,Zone1_Providence,1
777,77,Medium,Zone1_Providence,1
754,58,Medium,Zone1_Providence,1
639,30,Medium,Zone1_Providence,1
597,113,Medium,Zone1_Providence,1
655,229,Medium,Zone1_Providence,1
568,282,Medium,Zone1_Providence,1
541,174,Medium,Zone1_Providence,1
522,170,Medium,Zone1_Providence,1
438,69,Medium,Zone1_Providence,1
403,117,Medium,Zone1_Providence,1
418,167,Medium,Zone1_Providence,1
309,30,Medium,Zone1_Providence,1
338,337,Medium,Zone1_Providence,1
278,97,Medium,Zone1_Providence,1
283,14,Medium,Zone1_Providence,1
230,113,Medium,Zone1_Providence,1
37,33,High,Zone1_Providence,1
127,185,High,Zone1_Providence,1
157,275,High,Zone1_Providence,1
59,307,High,Zone1_Providence,1
159,331,High,Zone1_Providence,1
19,397,High,Zone1_Providence,1
156,412,High,Zone1_Providence,1
157,475,High,Zone1_Providence,1
96,560,High,Zone1_Providence,1
276,622,High,Zone1_Providence,1
128,637,High,Zone1_Providence,1
31,143,Medium,Zone1_Providence,1
81,144,Medium,Zone1_Providence,1
40,182,Medium,Zone1_Providence,1
55,259,Medium,Zone1_Providence,1
206,293,Medium,Zone1_Providence,1
230,344,Medium,Zone1_Providence,1
241,419,Medium,Zone1_Providence,1
256,453,Medium,Zone1_Providence,1
170,556,Medium,Zone1_Providence,1
187,515,Medium,Zone1_Providence,1
339,671,Medium,Zone1_Providence,1
384,607,High,Zone2_Left,1
429,703,High,Zone2_Left,1
362,583,High,Zone2_Left,1
320,425,High,Zone2_Left,1
403,382,High,Zone2_Left,1
496,389,High,Zone2_Left,1
308,547,Medium,Zone2_Left,1
515,333,Medium,Zone2_Left,1
620,413,High,Zone2_Left,1
928,374,High,Zone2_Left,1
926,610,High,Zone2_Left,1
703,298,Medium,Zone2_Left,1
718,351,Medium,Zone2_Left,1
720,396,Medium,Zone2_Left,1
850,362,Medium,Zone2_Left,1
911,553,Medium,Zone2_Left,1
855,654,Medium,Zone2_Left,1
900,706,Medium,Zone2_Left,1
731,762,High,Zone2_Left,1
601,859,High,Zone2_Left,1
551,762,High,Zone2_Left,1
500,876,High,Zone2_Left,1
816,731,High,Zone2_Left,1
817,717,Medium,Zone2_Left,1
753,914,Medium,Zone2_Left,1
551,793,Medium,Zone2_Left,1
454,789,Medium,Zone2_Left,1
671,587,High,Zone3_Right,1
698,727,High,Zone3_Right,1
610,482,Medium,Zone3_Right,1
537,489,Medium,Zone3_Right,1
491,562,Medium,Zone3_Right,1
598,591,Medium,Zone3_Right,1
500,666,Medium,Zone3_Right,1
750,651,Medium,Zone3_Right,1
