 X_Coordinate  Y_Coordinate   Type             Zone
          100          1186   High Zone1_Providence
          309          1186   High Zone1_Providence
          217          1115   High Zone1_Providence
          281           984   High Zone1_Providence
           36           803   High Zone1_Providence
          282           779   High Zone1_Providence
           29          1178 Medium Zone1_Providence
          250          1146 Medium Zone1_Providence
          122          1124 Medium Zone1_Providence
           80          1108 Medium Zone1_Providence
          370          1186 Medium Zone1_Providence
          376          1109 Medium Zone1_Providence
          348          1107 Medium Zone1_Providence
          379          1056 Medium Zone1_Providence
          136          1049 Medium Zone1_Providence
          101          1003 Medium Zone1_Providence
          259           959 Medium Zone1_Providence
           31           859 Medium Zone1_Providence
          167           779 Medium Zone1_Providence
          207           676 Medium Zone1_Providence
          187           755 Medium Zone1_Providence
          239           831 Medium Zone1_Providence
          260           836 Medium Zone1_Providence
          164           835 Medium Zone1_Providence
          337           896 Medium Zone1_Providence
          371           973 Medium Zone1_Providence
          461          1013   High Zone1_Providence
          443           958   High Zone1_Providence
          672          1171   High Zone1_Providence
          869          1117   High Zone1_Providence
          897           972   High Zone1_Providence
          947           997   High Zone1_Providence
         1026          1162   High Zone1_Providence
          446          1176 Medium Zone1_Providence
          440          1073 Medium Zone1_Providence
          522          1171 Medium Zone1_Providence
          556           993 Medium Zone1_Providence
          563          1083 Medium Zone1_Providence
          598          1071 Medium Zone1_Providence
          640          1186 Medium Zone1_Providence
          714           940 Medium Zone1_Providence
          732           899 Medium Zone1_Providence
          766          1184 Medium Zone1_Providence
          805          1001 Medium Zone1_Providence
          910           958 Medium Zone1_Providence
          937          1053 Medium Zone1_Providence
          943          1151 Medium Zone1_Providence
          970          1186 Medium Zone1_Providence
         1033          1048 Medium Zone1_Providence
          991          1039 Medium Zone1_Providence
         1122          1109 Medium Zone1_Providence
         1135          1151 Medium Zone1_Providence
         1186          1181 Medium Zone1_Providence
         1065           954   High Zone1_Providence
          992           943   High Zone1_Providence
         1167           767   High Zone1_Providence
         1037           967 Medium Zone1_Providence
         1154           969 Medium Zone1_Providence
         1171           951 Medium Zone1_Providence
         1090           849 Medium Zone1_Providence
          970           786 Medium Zone1_Providence
          890           779 Medium Zone1_Providence
         1018           690 Medium Zone1_Providence
         1186           704 Medium Zone1_Providence
         1091           624 Medium Zone1_Providence
          998           547   High Zone1_Providence
         1186           524   High Zone1_Providence
         1121           403   High Zone1_Providence
         1186           344   High Zone1_Providence
         1078           222   High Zone1_Providence
          969           166   High Zone1_Providence
         1133           167   High Zone1_Providence
          998           112   High Zone1_Providence
          970            32   High Zone1_Providence
         1049           517 Medium Zone1_Providence
         1100           533 Medium Zone1_Providence
          985           349 Medium Zone1_Providence
         1148           397 Medium Zone1_Providence
          951           306 Medium Zone1_Providence
         1156           269 Medium Zone1_Providence
         1171           231 Medium Zone1_Providence
         1124           234 Medium Zone1_Providence
          946           213 Medium Zone1_Providence
          922            32 Medium Zone1_Providence
          849           221   High Zone1_Providence
          674            39   High Zone1_Providence
          515           265   High Zone1_Providence
          418           252   High Zone1_Providence
          849           120 Medium Zone1_Providence
          807           286 Medium Zone1_Providence
          726           246 Medium Zone1_Providence
          777            77 Medium Zone1_Providence
          754            58 Medium Zone1_Providence
          639            30 Medium Zone1_Providence
          597           113 Medium Zone1_Providence
          655           229 Medium Zone1_Providence
          568           282 Medium Zone1_Providence
          541           174 Medium Zone1_Providence
          522           170 Medium Zone1_Providence
          438            69 Medium Zone1_Providence
          403           117 Medium Zone1_Providence
          418           167 Medium Zone1_Providence
          309            30 Medium Zone1_Providence
          338           337 Medium Zone1_Providence
          278            97 Medium Zone1_Providence
          283            14 Medium Zone1_Providence
          230           113 Medium Zone1_Providence
           37            33   High Zone1_Providence
          127           185   High Zone1_Providence
          157           275   High Zone1_Providence
           59           307   High Zone1_Providence
          159           331   High Zone1_Providence
           19           397   High Zone1_Providence
          156           412   High Zone1_Providence
          157           475   High Zone1_Providence
           96           560   High Zone1_Providence
          276           622   High Zone1_Providence
          128           637   High Zone1_Providence
           31           143 Medium Zone1_Providence
           81           144 Medium Zone1_Providence
           40           182 Medium Zone1_Providence
           55           259 Medium Zone1_Providence
          206           293 Medium Zone1_Providence
          230           344 Medium Zone1_Providence
          241           419 Medium Zone1_Providence
          256           453 Medium Zone1_Providence
          170           556 Medium Zone1_Providence
          187           515 Medium Zone1_Providence
          339           671 Medium Zone1_Providence
          384           607   High       Zone2_Left
          429           703   High       Zone2_Left
          362           583   High       Zone2_Left
          320           425   High       Zone2_Left
          403           382   High       Zone2_Left
          496           389   High       Zone2_Left
          308           547 Medium       Zone2_Left
          515           333 Medium       Zone2_Left
          620           413   High       Zone2_Left
          928           374   High       Zone2_Left
          926           610   High       Zone2_Left
          703           298 Medium       Zone2_Left
          718           351 Medium       Zone2_Left
          720           396 Medium       Zone2_Left
          850           362 Medium       Zone2_Left
          911           553 Medium       Zone2_Left
          855           654 Medium       Zone2_Left
          900           706 Medium       Zone2_Left
          731           762   High       Zone2_Left
          601           859   High       Zone2_Left
          551           762   High       Zone2_Left
          500           876   High       Zone2_Left
          816           731   High       Zone2_Left
          817           717 Medium       Zone2_Left
          753           914 Medium       Zone2_Left
          551           793 Medium       Zone2_Left
          454           789 Medium       Zone2_Left
          671           587   High      Zone3_Right
          698           727   High      Zone3_Right
          610           482 Medium      Zone3_Right
          537           489 Medium      Zone3_Right
          491           562 Medium      Zone3_Right
          598           591 Medium      Zone3_Right
          500           666 Medium      Zone3_Right
          750           651 Medium      Zone3_Right
